Name,HR,R,RBI,SB,AVG,cluster_num
Manuel Margot,10,56,43,19,0.247,2
Yasiel Puig,14,44,40,9,0.256,2
Willson Contreras,17,57,57,3,0.255,2
Alex Dickerson,16,59,60,2,0.261,2
Will Smith,19,54,58,2,0.242,2
Mitch Moreland,18,50,55,1,0.223,2
Austin Hays,18,61,58,8,0.247,2
Willi Castro,11,56,49,7,0.254,2
Stephen Piscotty,17,61,59,3,0.235,2
Amed Rosario,8,50,43,11,0.27,2
Rougned Odor,21,55,57,9,0.219,2
Evan Longoria,14,52,56,2,0.248,2
Donovan Solano,9,58,59,1,0.272,2
Dylan Moore,16,62,47,23,0.224,2
Wander Franco,10,51,49,7,0.289,2
Carter Kieboom,12,56,53,3,0.241,2
Dexter Fowler,13,56,48,5,0.219,2
Brandon Nimmo,14,65,51,5,0.249,2
Cristian Pache,13,65,59,9,0.26,2
Enrique Hernandez,15,48,48,2,0.235,2
Jarred Kelenic,14,46,44,7,0.237,2
Luis Urias,10,59,54,5,0.249,2
David Dahl,12,47,44,6,0.241,2
Adam Frazier,10,59,54,7,0.267,2
Nicky Lopez,3,55,43,8,0.244,2
Travis d'Arnaud,18,57,60,2,0.26,2
Randal Grichuk,20,53,58,2,0.248,2
Luis Arraez,4,63,53,4,0.302,2
Joey Wendle,7,44,39,9,0.254,2
Sean Murphy,13,44,44,1,0.221,2
Ji-Man Choi,16,55,56,2,0.24,2
Miguel Rojas,7,58,53,9,0.267,2
Andres Gimenez,7,47,36,15,0.252,2
Yadier Molina,10,44,45,4,0.256,2
Rowdy Tellez,20,55,60,2,0.249,2
J.D. Davis,15,54,55,1,0.259,2
Ryan Braun,10,34,33,5,0.26,1
Lane Thomas,5,20,17,4,0.218,1
Andrew Stevenson,4,28,22,5,0.238,1
Taylor Trammell,4,22,17,4,0.213,1
Phillip Evans,5,27,27,2,0.234,1
Tony Kemp,4,40,28,8,0.235,1
Shed Long,7,33,29,5,0.224,1
Franklin Barreto,5,19,17,3,0.217,1
Khris Davis,16,36,43,0,0.225,1
Jose Trevino,8,31,35,0,0.228,1
Jake Fraley,5,23,20,6,0.224,1
Martin Maldonado,11,40,40,1,0.211,1
Tomas Nido,4,16,19,0,0.22,1
Mitch Garver,13,38,39,0,0.228,1
Tim Locastro,5,38,26,12,0.255,1
Pat Valaika,6,17,18,1,0.22,1
Chris Davis,7,21,22,0,0.184,1
Albert Pujols,11,33,40,1,0.208,1
Mike Brosseau,5,19,19,2,0.255,1
Edward Olivares,3,18,17,4,0.24,1
Asdrubal Cabrera,10,35,38,1,0.258,1
Yoshitomo Tsutsugo,12,36,39,0,0.222,1
Austin Romine,4,19,20,1,0.223,1
Jarrod Dyson,2,27,15,14,0.22,1
Daniel Vogelbach,7,19,21,0,0.237,1
Edwin Encarnacion,11,26,29,1,0.22,1
Cole Tucker,5,34,29,7,0.232,1
Chad Wallach,6,23,24,0,0.206,1
Roberto Perez,10,37,34,1,0.202,1
Brad Miller,12,37,37,2,0.239,1
Wilmer Flores,11,35,41,1,0.271,1
Austin Hedges,7,19,22,1,0.202,1
Adam Engel,6,31,25,6,0.225,1
Grayson Greiner,5,18,19,0,0.21,1
Luis Guillorme,2,19,16,2,0.237,1
Jose Garcia,3,17,16,2,0.232,1
Yolmer Sanchez,4,31,23,4,0.238,1
Alejandro Kirk,7,28,27,1,0.269,1
Kyle Holder,3,18,17,1,0.239,1
Albert Almora Jr.,4,19,19,1,0.247,1
Austin Slater,7,34,27,6,0.255,1
Dustin Fowler,8,34,33,7,0.233,1
Jake Marisnick,9,33,29,8,0.215,1
Jonah Heim,4,21,21,0,0.224,1
Michael A. Taylor,8,34,31,9,0.223,1
Jedd Gyorko,8,21,23,0,0.236,1
Garrett Cooper,9,32,34,0,0.263,1
Lewis Brinson,5,19,18,3,0.215,1
Charlie Culberson,5,17,17,1,0.227,1
Yoenis Cespedes,14,34,39,2,0.241,1
Jacob Stallings,8,33,39,0,0.232,1
Jahmai Jones,5,29,24,5,0.228,1
Roman Quinn,3,23,13,10,0.225,1
Anthony Alford,6,35,26,11,0.218,1
