Name,HR,R,RBI,SB,AVG
Cam Gallagher,3,13,14,0,0.228
Micker Adolfo,1,3,3,0,0.204
Roman Quinn,3,23,13,10,0.225
Juan Lagares,1,8,7,1,0.235
Erik Gonzalez,3,16,14,3,0.239
Rene Rivera,2,5,6,0,0.209
Charlie Culberson,5,17,17,1,0.227
Eli White,2,12,10,2,0.222
Tyler Wade,2,14,10,3,0.221
Reese McGuire,3,16,14,1,0.224
Nicky Lopez,3,55,43,8,0.244
Kelvin Gutierrez,0,3,2,0,0.233
Brian O'Grady,1,2,2,0,0.199
Austin Allen,2,6,7,0,0.22
Yu-Cheng Chang,1,5,5,0,0.208
Roberto Perez,10,37,34,1,0.202
Bryan Holaday,0,1,1,0,0.226
Anthony Alford,6,35,26,11,0.218
Dee Gordon,1,18,11,7,0.263
Tyler Heineman,1,3,3,0,0.225
Tyrone Taylor,1,3,3,0,0.219
Beau Taylor,1,6,5,0,0.204
John Hicks,1,2,2,0,0.219
Garrett Stubbs,0,2,2,0,0.22
Austin Hedges,7,19,22,1,0.202
Grayson Greiner,5,18,19,0,0.21
Jose Garcia,3,17,16,2,0.232
Travis Jankowski,0,2,1,1,0.23
Jonah Heim,4,21,21,0,0.224
Ronnie Dawson,1,3,3,1,0.202
Luis Barrera,1,6,5,1,0.233
Lewis Brinson,5,19,18,3,0.215
Harold Castro,1,12,11,1,0.248
Tony Wolters,1,10,9,0,0.223
Michael Perez,3,14,16,0,0.211
Dustin Garneau,1,2,3,0,0.198
Jason Vosler,0,1,1,0,0.203
Meibrys Viloria,1,5,5,0,0.226
Braden Bishop,1,7,6,1,0.223
Jake Noll,1,3,3,0,0.234
Seby Zavala,0,1,1,0,0.203
Jon Jay,0,3,3,0,0.24
Richie Martin Jr.,2,11,7,2,0.222
Chad Wallach,6,23,24,0,0.206
Chris Davis,7,21,22,0,0.184
Jose Trevino,8,31,35,0,0.228
Magneuris Sierra,1,10,6,4,0.239
Andrew Velazquez,0,1,1,0,0.216
Billy Hamilton,1,15,7,9,0.225
Derek Hill,0,1,1,0,0.213
Austin Wynns,0,1,1,0,0.221
Austin Romine,4,19,20,1,0.223
Bubba Starling,0,1,1,0,0.216
Anthony Bemboom,1,4,4,0,0.203
Gregory Deichmann,0,1,1,0,0.194
Monte Harrison,1,2,2,1,0.203
Jarrod Dyson,2,27,15,14,0.22
Sandy Leon,1,5,5,0,0.2
Tomas Nido,4,16,19,0,0.22
Nick Heath,0,2,1,1,0.212
Drew Butera,1,3,3,0,0.206
Keon Broxton,1,5,3,2,0.184
Jorge Mateo,2,10,8,3,0.213
Aramis Garcia,4,15,16,0,0.201
Seth Brown,2,7,7,0,0.199
Skye Bolt,0,1,1,0,0.195
Jeff Mathis,1,3,3,0,0.201
Jose Siri,1,5,4,1,0.203
Luke Maile,1,2,2,0,0.202
Caleb Joseph,0,1,1,0,0.21
Michael Reed,1,7,5,2,0.196
Albert Pujols,11,33,40,1,0.208
Trayce Thompson,1,5,5,1,0.176
